Source,CAS Catalog Number,FieldNumber,Additional Identifier,Duplicate,Family,CommonName,Genus,Species,Name,affiliation,County,City,Locality,Inial Lat (starts 2018),Initial Long (starts 2018),Latitude,Longitude,Lat/Long Estimated,corrected by,date fixed,georeferencing notes,georeferenced longitude,georeferenced latitude,uncertainty raduis (m),fixed Latitude,fixed Longitude,How fixed lat/long determined,georeferenced by,lat/long protocol,How Lat/Long Det,georeference verification,Confidence Code,GE#,SignsHumanInteraction,BoatCollision,Shot,FisheryInteraction,OtherHumanInter,HowDetermined,OtherCauses,CauseOfDeathOtherRemarks,DateOfInitialObs,First Observed,InitialStatus,Era,ExaminationDate,month,day,year,NoExam,ExamCondition,Sex,AgeClass,condition,CarcassType,StraightLength,SL_units,SL_estimated,Tag at Stranding,Tag_1_ID,Tag_1_Color,Tag_1_Type,Tag_1_Placement,Tag_2_ID,Tag_2_Color,Tag_2_Type,Tag_2_Placement,Disposal_Towed,Disposal_Sunk,SpecimenDisp_ScientificCollection,Necropsy Code,Necropsied,Necropsy Type,Carcass Type,NecropsiedDate,NecropsiedBy,Additional Remarks,Gear Collected,Gear Disposition
National,,CADFW-20161208,BLANKSW100915,,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,Brennan Helwig,California Department of Fish and Wildlife,Sacramento,Sacramento,River mile 51.97. This is based on 0.0 starting upstream of Pittsburg,,,38.511894,–121.554919,actual,kkhigh,3/13/2021 23:31,,-121.554919,38.511894,107,,,,,,GPS,,,,N,N,N,N,N,,,,12/8/2016,,Fresh Dead,3,12/8/2016,12,8,2016,,Fresh Dead,FEMALE,ADULT,,,74,cm,actual,N,,,,,,,,,N,Y,FALSE,,N,,,,,,,
CAS,,CAS-AC-14MAY18-ALV,,,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,AMY L. VAN SYOC,,Sonoma,Jenner,Stump Beach State Park,,,38.581714,-123.335779,TRUE,kkhigh,3/14/2021 1:19,,-123.335779,38.581714,43,,,,,,Internet/software,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,12-May-18,Beach or Land,Freshly Dead,3,5/14/2018,5,,2018,FALSE,Freshly Dead,Male,Pup / Calf,,Whole Carcass,119,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,
historic,24448,CAS-AJJ-393,,,Phocoenidae,HARBOR PORPOISE,Phocoena,phocoena,Douglas J. Long,,San Mateo,,"Half Moon Bay, Miramar Beach, 30 m. north of the end of Alcatraz St.",,,37.47631766,-122.4456047,,kkhigh,2/15/2021 17:20,ngis based off of description,-122.458452,37.491514,21,,,,Julian A. Kapoor,MaNIS georeferencing guidelines,"Terrain Navigator 5.03 USGS 1:24,000",unverified,,,,,,,,,,,1998-07-12T00:00:00,,,3,7/12/1998,7,,1998,,,MALE,ADULT,,,Length=128.0 cm S.L.,,,,,,,,,,,,,,,,,,,,,"Skull w/ hyoids; stomach contents, brain stem, larynx, tapeworms (in alc.). Died 09 July 1998.",,
CAS,33118,CAS-ALV-002,,"N, H",Otariidae,GUADALUPE FUR SEAL,Arctocephalus,townsendi,AMY L. VAN SYOC,,Mendocino,Manchester,Manchester State Beach,,,38.979555,-123.709349,TRUE,kkhigh,3/25/2021 1:31,,-123.709349,38.979555,69,,,,,,Internet/software,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,16-May-15,Beach or Land,Advanced Decomposition,3,5/16/2015,5,,2015,FALSE,Advanced Decomposition,Male,Pup / Calf,,Whole Carcass,82,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,TRUE,,FALSE,,,,,,FALSE,
CAS,33119,CAS-ALV-003,,"N, H",Otariidae,GUADALUPE FUR SEAL,Arctocephalus,townsendi,AMY L. VAN SYOC,,Mendocino,Manchester,Manchester State Beach,,,38.983831,-123.707176,TRUE,kkhigh,3/25/2021 1:32,,-123.707176,38.983831,69,,,,,,Internet/software,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,16-May-15,Beach or Land,Mummified / Skeleton,3,5/16/2015,5,,2015,FALSE,Mummified / Skeleton,Male,Pup / Calf,,Whole Carcass,81,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,TRUE,,FALSE,,,,,,FALSE,
CAS,,CAS-ALV-004,,N,Otariidae,GUADALUPE FUR SEAL,Arctocephalus,townsendi,AMY L. VAN SYOC,,Mendocino,Manchester,Manchester  Beach,,,38.991318,-123.70317,TRUE,kkhigh,3/25/2021 2:16,,-123.70317,38.991318,71,,,,,,Internet/software,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,13-Jun-15,Beach or Land,Mummified / Skeleton,3,6/13/2015,6,,2015,FALSE,Mummified / Skeleton,Unknown,Pup / Calf,,Whole Carcass,76,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,TRUE,,FALSE,,,,,,FALSE,
CAS,31988,CAS-ALV-005,,"N, H",Otariidae,GUADALUPE FUR SEAL,Arctocephalus,townsendi,AMY L. VAN SYOC,,Mendocino,Manchester,Manchester  Beach,,,38.996315,-123.700196,TRUE,kkhigh,3/25/2021 2:17,,-123.700196,38.996315,71,,,,,,Internet/software,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,13-Jun-15,Beach or Land,Mummified / Skeleton,3,6/13/2015,6,,2015,FALSE,Mummified / Skeleton,Unknown,Pup / Calf,,Whole Carcass,83,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,TRUE,,FALSE,,,,,,FALSE,
National,,CAS-ALV-007,BLANKSW93261,,Otariidae,NORTHERN FUR SEAL,Callorhinus,ursinus,SUSAN PEMBERTON,California Academy of Sciences,Sonoma,The Sea Ranch,Black Point Beach,,,38.685677,–123.432122,estimate,kkhigh,3/14/2021 0:58,,-123.432122,38.685677,44,,,,,,Internet,,,,CBD,N,N,N,N,,,,11/20/2015,,Fresh Dead,3,12/15/2015,12,15,2015,,Fresh Dead,FEMALE,PUP/CALF,,,72.5,cm,actual,Y,,,,,,,,,N,N,TRUE,,N,,,,,tags reported to NMML,,
CAS,,CAS-ALV-008,,N,Otariidae,NORTHERN FUR SEAL,Callorhinus,ursinus,SUE PEMBERTON/AMY L. VAN SYOC,,Sonoma,The Sea Ranch,"Shell Beach, south end",,,38.726054,-123.480318,TRUE,kkhigh,3/14/2021 1:37,,-123.480318,38.726054,45,,,,,,Internet/software,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,23-Nov-15,Beach or Land,Freshly Dead,3,12/15/2015,11,,2015,FALSE,Freshly Dead,Male,Pup / Calf,,Whole Carcass,79.5,cm,FALSE,TRUE,549A,Pink,Roto,LF,550A,Pink,Roto,,FALSE,FALSE,TRUE,,TRUE,Limited,Frozen/Thawed,15-Dec-15,Sue Pemberton,"5-7 pipe fish found intact in esophagus and oropharynx  sent to S Melin for ID and documentation.  Lung, heart, spleen, kidney, liver and 1 lymph node placed in formalin for histo exam.",FALSE,
CAS,,CAS-ALV-009,,N,Otariidae,GUADALUPE FUR SEAL,Arctocephalus,townsendi,AMY L. VAN SYOC,,Sonoma,Gualala,Gualala Point Beach sand spit,,,38.761127,-123.530155,FALSE,kkhigh,3/14/2021 1:15,original lat long was still on trail,-123.531644,38.764477,636,,,,,,GPS,,,UME,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,8-May-16,Beach or Land,Moderate Decomposition,3,5/8/2016,5,,2016,FALSE,Moderate Decomposition,Male,Pup / Calf,,Whole Carcass,89,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,TRUE,,FALSE,,,,,,FALSE,
